indicador_id,indicador,categoria,valor_referencia,direcao,impacto_acoes_growth,impacto_renda_fixa,impacto_ouro,impacto_commodities,impacto_dolar,descricao,fonte_sugerida
MAC001,Taxa de Juros FED (Fed Funds Rate),Política Monetária,">5%",alta,negativo,positivo,negativo,negativo,positivo,"Juros altos encarecem crédito e reduzem valuations de ações de crescimento. Fortalecem o dólar e dificultam commodities cotadas em USD.",Federal Reserve
MAC002,Inflação americana (CPI),Inflação,"<2% ideal / >4% preocupante",alta,negativo,negativo,positivo,positivo,negativo,"CPI acima de 4% corrói poder de compra e pressiona o Fed a subir juros. Ouro e commodities são hedges inflacionários clássicos.",Bureau of Labor Statistics
MAC003,PIB Global (crescimento anual),Crescimento Econômico,">3% saudável",queda,negativo,positivo,positivo,negativo,variável,"Queda no PIB sinaliza recessão. Investidores migram para ativos defensivos (ouro, renda fixa, saúde).",FMI / Banco Mundial
MAC004,Índice de Volatilidade VIX,Sentimento de Mercado,">30 indica pânico / <15 calmaria",alta,negativo,positivo,positivo,variável,positivo,"VIX acima de 30 indica medo extremo no mercado. Historicamente acompanha crises e conflitos. Sinal de compra de ativos de refúgio.",CBOE
MAC005,Preço do Barril Brent (USD),Energia,"Referência: USD 80",alta,negativo (custo),positivo (produtoras),neutro,positivo,variável,"Alta do petróleo eleva custos de produção globais e gera inflação. Beneficia empresas produtoras de energia mas pressiona indústria e varejo.",ICE Futures
MAC006,Preço do Ouro (USD/oz),Refúgio / Inflação,"Acima de USD 2000 = demanda elevada",alta,negativo,negativo,positivo,neutro,negativo,"Ouro sobe em períodos de incerteza, inflação e conflitos. Correlação inversa com juros reais americanos.",LBMA / Kitco
MAC007,Índice do Dólar (DXY),Câmbio,">105 dólar forte",alta,negativo (mercados emergentes),neutro,negativo,negativo,positivo,"Dólar forte penaliza commodities cotadas em USD e dificulta pagamento de dívidas em países emergentes. Beneficia exportadores americanos.",ICE
MAC008,Rendimento do Treasury 10Y (EUA),Risco Soberano / Juros,">4.5% pressão relevante",alta,negativo,negativo,negativo,negativo,positivo,"Alta dos treasuries sinaliza expectativa de juros elevados. Reduz atratividade de ações e aumenta custo de capital globalmente.",U.S. Treasury Dept.
MAC009,Balança Comercial da China,Comércio Global,"Superávit acima de USD 50bi/mês = forte",queda,negativo,neutro,positivo,negativo,variável,"Queda nas exportações chinesas sinaliza desaceleração global e reduz demanda por commodities (minério, petróleo, cobre).",Customs General Administration China
MAC010,Índice PMI Industrial Global,Atividade Econômica,">50 expansão / <50 contração",queda,negativo,positivo,positivo,negativo,variável,"PMI abaixo de 50 por três meses consecutivos é sinal claro de recessão industrial. Antecipa queda em setores cíclicos.",S&P Global / JP Morgan
MAC011,Preço do Trigo (USD/bushel),Agronegócio / Inflação Alimentar,"Referência: USD 5-7",alta,negativo (consumidores),neutro,neutro,positivo,variável,"Alta do trigo sinaliza crise alimentar, frequentemente causada por conflitos em regiões produtoras (Ucrânia, Rússia). Beneficia exportadores alternativos como Brasil e Argentina.",CBOT / CME Group
MAC012,Reservas de Petróleo EIA (variação semanal),Energia,"-3M barris/semana = demanda forte",queda_estoques,positivo (energia),neutro,neutro,positivo,variável,"Queda nas reservas semanais de petróleo americano indica demanda maior que oferta, pressionando preços para cima.",U.S. Energy Information Administration
